  cnum                  name      glon_peak      glat_peak             ra            dec       glon_cen       glat_cen     maj     min     pos_ang     rad  flux_40  err_flux_40  flux_80  err_flux_80 flux_120 err_flux_120     flux     err_flux 
  7284       G111.668+00.596    111.6690791      0.5963389    348.8237643     61.3478406    111.6706892      0.5977261   68.66   43.97          17  127.01    0.239        0.028    0.864        0.071    1.781        0.130    3.825        0.272 
  7285       G111.671+00.824    111.6711164      0.8243385    348.6541901     61.5609646    111.6717580      0.8219409   24.03   12.63           7    null    0.051        0.022    0.131        0.044    0.190        0.065    0.134        0.039 
  7286       G111.673+00.834    111.6731182      0.8343382    348.6504391     61.5710050    111.6719324      0.8389832   11.19    9.58         138    null    0.029        0.021    0.101        0.042    0.143        0.062    0.028        0.020 
  7287       G111.680+00.358    111.6810406      0.3583369    349.0255522     61.1302140    111.6822239      0.3579791   19.83    8.97         111    null    0.032        0.025    0.093        0.049    0.208        0.074    0.059        0.031 
  7288       G111.685+00.596    111.6850799      0.5963363    348.8548707     61.3536349    111.6935609      0.6034535   29.84   22.81         172   52.25    0.173        0.027    0.672        0.064    1.460        0.115    0.773        0.081 
  7289       G111.697+00.290    111.6970297      0.2903343    349.1069565     61.0724871    111.6933449      0.2884277   16.96    7.71         114    null    0.037        0.019    0.124        0.038    0.230        0.058    0.043        0.020 
  7290       G111.701+00.678    111.7010942      0.6783336    348.8239959     61.4358631    111.7025077      0.6770153   24.13   16.08          62   29.87    0.084        0.022    0.214        0.045    0.347        0.069    0.239        0.047 
  7291       G111.703+00.290    111.7030297      0.2903333    349.1185379     61.0746365    111.7072086      0.2930227   34.44   22.00          16   55.43    0.044        0.019    0.148        0.038    0.258        0.058    0.228        0.050 
  7292       G111.716+00.640    111.7170887      0.6403309    348.8839258     61.4062304    111.7151704      0.6412328   21.94   15.66         126   26.07    0.062        0.020    0.196        0.041    0.332        0.063    0.184        0.039 
  7293       G111.716+00.658    111.7170917      0.6583309    348.8703221     61.4230123    111.7188469      0.6591329   27.16   22.30         141   48.21    0.059        0.020    0.203        0.042    0.375        0.064    0.280        0.052 
